Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Time	0.00793	0.00833	0.00897	0.00930	0	49	4
Dist	1635.158	1635.158	1635.158	1635.158	0	50	2
Time	0.00827	0.00802	0.00899	0.00899	0	50	2
Dist	1635.158	1635.158	1635.158	1635.158	0	50	3
Time	0.00805	0.00746	0.00877	0.00893	0	50	3
Dist	1635.158	1635.158	1635.158	1635.158	0	50	4
Time	0.00799	0.00820	0.00941	0.00919	0	50	4
Dist	1639.027	1639.027	1639.027	1639.027	0	51	2
Time	0.00813	0.00840	0.00911	0.00921	0	51	2
Dist	1639.027	1639.027	1639.027	1639.027	0	51	3
Time	0.00840	0.00837	0.00917	0.00930	0	51	3
Dist	1639.027	1639.027	1639.027	1639.027	0	51	4
Time	0.00789	0.00831	0.00906	0.00927	0	51	4
Dist	1637.284	1637.284	1637.284	1637.284	0	52	2
Time	0.00816	0.00794	0.00876	0.00917	0	52	2
Dist	1637.284	1637.284	1637.284	1637.284	0	52	3
Time	0.00804	0.00807	0.00883	0.00906	0	52	3
Dist	1637.284	1637.284	1637.284	1637.284	0	52	4
Time	0.00806	0.00788	0.00888	0.00885	0	52	4
Dist	1698.577	1698.577	1698.577	1698.577	0	53	2
Time	0.00816	0.00828	0.00909	0.00914	0	53	2
Dist	1698.577	1698.577	1698.577	1698.577	0	53	3
Time	0.00791	0.00768	0.00861	0.00892	0	53	3
Dist	1698.577	1698.577	1698.577	1698.577	0	53	4
Time	0.00817	0.00809	0.00925	0.00937	0	53	4
Dist	2114.952	2114.952	2114.952	2114.952	0	54	2
Time	0.00836	0.00815	0.00934	0.00933	0	54	2
Dist	2114.952	2114.952	2114.952	2114.952	0	54	3
Time	0.00792	0.00814	0.00895	0.00917	0	54	3
Dist	2114.952	2114.952	2114.952	2114.952	0	54	4
Time	0.00800	0.00813	0.00888	0.00910	0	54	4
Dist	1964.766	1964.766	1964.766	1964.766	0	55	2
Time	0.00786	0.00800	0.00891	0.00926	0	55	2
Dist	1964.766	1964.766	1964.766	1964.766	0	55	3
Time	0.00787	0.00801	0.00918	0.00946	0	55	3
Dist	1964.766	1964.766	1964.766	1964.766	0	55	4
Time	0.00798	0.00774	0.00893	0.00903	0	55	4
Dist	1964.971	1964.971	1964.971	1964.971	0	56	2
Time	0.00877	0.00834	0.00936	0.00927	0	56	2
Dist	1964.971	1964.971	1964.971	1964.971	0	56	3
Time	0.00822	0.00803	0.00915	0.00920	0	56	3
Dist	1964.971	1964.971	1964.971	1964.971	0	56	4
Time	0.00798	0.00814	0.00915	0.00926	0	56	4
Dist	596.865	596.865	596.865	596.865	0	57	2
Time	0.00795	0.00813	0.00905	0.00908	0	57	2
Dist	596.865	596.865	596.865	596.865	0	57	3
Time	0.00793	0.00818	0.00885	0.00908	0	57	3
Dist	596.865	596.865	596.865	596.865	0	57	4
Time	0.00758	0.00773	0.00884	0.00903	0	57	4
Dist	1642.493	1642.493	1642.493	1642.493	0	58	2
Time	0.00824	0.00793	0.00890	0.00904	0	58	2
Dist	1642.493	1642.493	1642.493	1642.493	0	58	3
Time	0.00780	0.00794	0.00890	0.00916	0	58	3
Dist	1642.493	1642.493	1642.493	1642.493	0	58	4
Time	0.00787	0.00818	0.00890	0.00921	0	58	4
Dist	2597.165	2597.165	2597.165	2597.165	0	59	2
Time	0.00807	0.00810	0.00932	0.00919	0	59	2
Dist	2597.165	2597.165	2597.165	2597.165	0	59	3
Time	0.00765	0.00772	0.00862	0.00901	0	59	3
Dist	2597.165	2597.165	2597.165	2597.165	0	59	4
Time	0.00761	0.00763	0.00873	0.00897	0	59	4
Dist	2005.962	2005.962	2005.962	2005.962	0	60	2
Time	0.00838	0.00796	0.00894	0.00919	0	60	2
Dist	2005.962	2005.962	2005.962	2005.962	0	60	3
Time	0.00780	0.00807	0.00902	0.00907	0	60	3
Dist	2005.962	2005.962	2005.962	2005.962	0	60	4
Time	0.00792	0.00830	0.00907	0.00910	0	60	4
Dist	2007.079	2007.079	2007.079	2007.079	0	61	2
Time	0.00816	0.00774	0.00910	0.00938	0	61	2
Dist	2007.079	2007.079	2007.079	2007.079	0	61	3
Time	0.00821	0.00794	0.00933	0.00930	0	61	3
Dist	2007.079	2007.079	2007.079	2007.079	0	61	4
Time	0.00806	0.00822	0.00902	0.00906	0	61	4
Dist	111.412	111.412	111.412	111.412	0	62	2
Time	0.00818	0.00839	0.00937	0.00958	0	62	2
Dist	111.412	111.412	111.412	111.412	0	62	3
Time	0.00830	0.00787	0.00895	0.00913	0	62	3
Dist	111.412	111.412	111.412	111.412	0	62	4
Time	0.00819	0.00837	0.00929	0.00927	0	62	4
Dist	1427.176	1427.176	1427.176	1427.176	0	63	2
Time	0.00833	0.00806	0.00902	0.00936	0	63	2
Dist	1427.176	1427.176	1427.176	1427.176	0	63	3
Time	0.00923	0.00871	0.00985	0.01035	0	63	3
Dist	1427.176	1427.176	1427.176	1427.176	0	63	4
Time	0.00804	0.00834	0.00910	0.00935	0	63	4
Dist	1500.704	1500.704	1500.704	1500.704	0	64	2
Time	0.00791	0.00821	0.00890	0.00938	0	64	2
Dist	1500.704	1500.704	1500.704	1500.704	0	64	3
Time	0.00809	0.00762	0.00886	0.00886	0	64	3
Dist	1500.704	1500.704	1500.704	1500.704	0	64	4
Time	0.00777	0.00798	0.00912	0.00913	0	64	4
Dist	2382.444	2382.444	2382.444	2382.444	0	65	2
Time	0.00819	0.00789	0.00891	0.00916	0	65	2
Dist	2382.444	2382.444	2382.444	2382.444	0	65	3
Time	0.00823	0.00812	0.00889	0.00914	0	65	3
Dist	2382.444	2382.444	2382.444	2382.444	0	65	4
Time	0.00827	0.00839	0.00934	0.00978	0	65	4
Dist	2513.292	2513.292	2513.292	2513.292	0	66	2
Time	0.00810	0.00802	0.00933	0.00960	0	66	2
Dist	2513.292	2513.292	2513.292	2513.292	0	66	3
Time	0.00792	0.00833	0.00919	0.01008	0	66	3
Dist	2513.292	2513.292	2513.292	2513.292	0	66	4
Time	0.00791	0.00839	0.00925	0.00923	0	66	4
Dist	2067.315	2067.315	2067.315	2067.315	0	67	2
Time	0.00854	0.00903	0.00949	0.00979	0	67	2
Dist	2067.315	2067.315	2067.315	2067.315	0	67	3
